id,value
flare,
flare.year,
flare.year1.1, 180
flare.year2.100, 210
flare.year3.1500, 430
flare.year3.1600, 574
flare.year3.1700, 643
flare.year4.1820, 1202
flare.year4.1874, 1924
flare.year5.1900,3419
flare.year5.1913,4739
flare.year5.1940,7806
flare.year6.1950,9251
flare.year6.1951,9796
flare.year6.1952,10249
flare.year6.1953,10765
flare.year6.1954,11133
flare.year6.1955,11842
flare.year6.1956,12399
flare.year6.1957,12871
flare.year6.1958,13285
flare.year6.1959,13893
flare.year7.1960,14620
flare.year7.1961,15128
flare.year7.1962,15840
flare.year7.1963,16529
flare.year7.1964,17727
flare.year7.1965,18656
flare.year7.1966,19673
flare.year7.1967,20405
flare.year7.1968,21528
flare.year7.1969,22715
flare.year8.1970,23867
flare.year8.1971,24856
flare.year8.1972,26038
flare.year8.1973,27766
flare.year8.1974,28413
flare.year8.1975,28846
flare.year8.1976,30253
flare.year8.1977,31480
flare.year8.1978,32864
flare.year8.1979,34039
flare.year9.1980,34727
flare.year9.1981,35408
flare.year9.1982,35799
flare.year9.1983,36817
flare.year9.1984,38497
flare.year9.1985,39824
flare.year9.1986,41232
flare.year9.1987,42813
flare.year9.1988,44650
flare.year9.1989,46077
flare.year10.1990,47044
flare.year10.1991,47651
flare.year10.1992,48485
flare.year10.1993,49416
flare.year10.1994,50887
flare.year10.1995,52577
flare.year10.1996,54605
flare.year10.1997,56772
flare.year10.1998,58160
flare.year11.1999,60248
flare.year11.2000,63101
flare.year11.2001,64639
flare.year11.2002,66421
flare.year11.2003,68895
flare.year11.2004,72618
flare.year11.2005,76089
flare.year11.2006,80203
flare.year11.2007,84577
flare.year11.2008,87021
flare.year11.2009,86750
flare.year1.2010,91330
flare.year1.2011,94982
flare.year1.2012,98032
flare.year1.2013,101270
flare.year1.2014,104720
flare.year1.2015,108120
flare.year1.2016,112161
